"from","to","n","from_iso","to_iso"
"Congo, Dem. Rep.","Cayman Islands",0,"COD","CYM"
"Congo, Rep.","Cayman Islands",0,"COG","CYM"
"Costa Rica","Cayman Islands",337.666419814038,"CRI","CYM"
"Côte d'Ivoire","Cayman Islands",0,"CIV","CYM"
"Croatia","Cayman Islands",0,"HRV","CYM"
"Cuba","Cayman Islands",889.677610466552,"CUB","CYM"
"Cyprus","Cayman Islands",5.87245947502674,"CYP","CYM"
"Czech Republic","Cayman Islands",8.80868921254011,"CZE","CYM"
"Denmark","Cayman Islands",26.4260676376203,"DNK","CYM"
"Djibouti","Cayman Islands",0,"DJI","CYM"
"Dominica","Cayman Islands",8.80868921254011,"DMA","CYM"
"Dominican Republic","Cayman Islands",82.2144326503744,"DOM","CYM"
"Ecuador","Cayman Islands",2.93622973751337,"ECU","CYM"
"Egypt, Arab Rep.","Cayman Islands",2.93622973751337,"EGY","CYM"
"El Salvador","Cayman Islands",0,"SLV","CYM"
"Equatorial Guinea","Cayman Islands",0,"GNQ","CYM"
"Eritrea","Cayman Islands",0,"ERI","CYM"
"Estonia","Cayman Islands",0,"EST","CYM"
"Ethiopia","Cayman Islands",2.93622973751337,"ETH","CYM"
"Faeroe Islands","Cayman Islands",0,"FRO","CYM"
"Fiji","Cayman Islands",2.93622973751337,"FJI","CYM"
"Finland","Cayman Islands",14.6811486875669,"FIN","CYM"
"France","Cayman Islands",46.9796758002139,"FRA","CYM"
"French Polynesia","Cayman Islands",0,"PYF","CYM"
"Gabon","Cayman Islands",0,"GAB","CYM"
"Gambia, The","Cayman Islands",0,"GMB","CYM"
"Georgia","Cayman Islands",0,"GEO","CYM"
"Germany","Cayman Islands",164.428865300749,"DEU","CYM"
"Ghana","Cayman Islands",5.87245947502674,"GHA","CYM"
"Gibraltar","Cayman Islands",0,"GIB","CYM"
"Greece","Cayman Islands",2.93622973751337,"GRC","CYM"
"Greenland","Cayman Islands",0,"GRL","CYM"
"Grenada","Cayman Islands",23.489837900107,"GRD","CYM"
"Guam","Cayman Islands",0,"GUM","CYM"
"Guatemala","Cayman Islands",0,"GTM","CYM"
"Guinea","Cayman Islands",2.93622973751337,"GIN","CYM"
"Guinea-Bissau","Cayman Islands",0,"GNB","CYM"
"Guyana","Cayman Islands",231.962149263556,"GUY","CYM"
"Haiti","Cayman Islands",26.4260676376203,"HTI","CYM"
"Honduras","Cayman Islands",2848.14284538797,"HND","CYM"
"Hong Kong, China","Cayman Islands",2.93622973751337,"HKG","CYM"
"Hungary","Cayman Islands",2.93622973751337,"HUN","CYM"
"Iceland","Cayman Islands",0,"ISL","CYM"
"India","Cayman Islands",170.301324775776,"IND","CYM"
"Indonesia","Cayman Islands",5.87245947502674,"IDN","CYM"
"Iran, Islamic Rep.","Cayman Islands",14.6811486875669,"IRN","CYM"
"Iraq","Cayman Islands",0,"IRQ","CYM"
"Ireland","Cayman Islands",305.367892701391,"IRL","CYM"
"Isle of Man","Cayman Islands",0,"IMN","CYM"
"Israel","Cayman Islands",17.6173784250802,"ISR","CYM"
"Italy","Cayman Islands",111.576730025508,"ITA","CYM"
"Jamaica","Cayman Islands",14179.0534024521,"JAM","CYM"
"Japan","Cayman Islands",29.3622973751337,"JPN","CYM"
"Jordan","Cayman Islands",0,"JOR","CYM"
"Kazakhstan","Cayman Islands",0,"KAZ","CYM"
"Kenya","Cayman Islands",44.0434460627006,"KEN","CYM"
"Kiribati","Cayman Islands",2.93622973751337,"KIR","CYM"
"Korea, Dem. Rep.","Cayman Islands",0,"PRK","CYM"
"Korea, Rep.","Cayman Islands",5.87245947502674,"KOR","CYM"
"Kosovo","Cayman Islands",0,"KOS","CYM"
"Kuwait","Cayman Islands",2.93622973751337,"KWT","CYM"
"Kyrgyz Republic","Cayman Islands",0,"KGZ","CYM"
"Lao PDR","Cayman Islands",0,"LAO","CYM"
"Latvia","Cayman Islands",0,"LVA","CYM"
"Lebanon","Cayman Islands",5.87245947502674,"LBN","CYM"
"Lesotho","Cayman Islands",0,"LSO","CYM"
"Liberia","Cayman Islands",0,"LBR","CYM"
"Libya","Cayman Islands",0,"LBY","CYM"
"Liechtenstein","Cayman Islands",0,"LIE","CYM"
"Lithuania","Cayman Islands",0,"LTU","CYM"
"Luxembourg","Cayman Islands",0,"LUX","CYM"
"Macao, China","Cayman Islands",0,"MAC","CYM"
"Macedonia, FYR","Cayman Islands",0,"MKD","CYM"
"Madagascar","Cayman Islands",0,"MDG","CYM"
"Malawi","Cayman Islands",8.80868921254011,"MWI","CYM"
"Malaysia","Cayman Islands",26.4260676376203,"MYS","CYM"
"Maldives","Cayman Islands",0,"MDV","CYM"
"Mali","Cayman Islands",0,"MLI","CYM"
"Malta","Cayman Islands",8.80868921254011,"MLT","CYM"
"Marshall Islands","Cayman Islands",0,"MHL","CYM"
"Mauritania","Cayman Islands",0,"MRT","CYM"
"Mauritius","Cayman Islands",8.80868921254011,"MUS","CYM"
"Mayotte","Cayman Islands",0,"MYT","CYM"
"Mexico","Cayman Islands",49.9159055377273,"MEX","CYM"
"Micronesia, Fed. Sts.","Cayman Islands",0,"FSM","CYM"
"Moldova","Cayman Islands",0,"MDA","CYM"
"Monaco","Cayman Islands",0,"MCO","CYM"
"Mongolia","Cayman Islands",0,"MNG","CYM"
"Montenegro","Cayman Islands",0,"MNE","CYM"
"Morocco","Cayman Islands",0,"MAR","CYM"
"Mozambique","Cayman Islands",0,"MOZ","CYM"
"Myanmar","Cayman Islands",2.93622973751337,"MMR","CYM"
"Namibia","Cayman Islands",0,"NAM","CYM"
"Nepal","Cayman Islands",0,"NPL","CYM"
"Netherlands","Cayman Islands",46.9796758002139,"NLD","CYM"
"Netherlands Antilles","Cayman Islands",17.6173784250802,"ANT","CYM"
"New Caledonia","Cayman Islands",0,"NCL","CYM"
"New Zealand","Cayman Islands",70.4695137003209,"NZL","CYM"
"Nicaragua","Cayman Islands",910.231218629145,"NIC","CYM"
"Niger","Cayman Islands",35.2347568501605,"NER","CYM"
"Nigeria","Cayman Islands",14.6811486875669,"NGA","CYM"
"Northern Mariana Islands","Cayman Islands",0,"MNP","CYM"
"Norway","Cayman Islands",0,"NOR","CYM"
"Oman","Cayman Islands",0,"OMN","CYM"
"Pakistan","Cayman Islands",135.066567925615,"PAK","CYM"
"Palau","Cayman Islands",0,"PLW","CYM"
"Panama","Cayman Islands",164.428865300749,"PAN","CYM"
"Papua New Guinea","Cayman Islands",2.93622973751337,"PNG","CYM"
"Paraguay","Cayman Islands",2.93622973751337,"PRY","CYM"
"Peru","Cayman Islands",20.5536081625936,"PER","CYM"
"Philippines","Cayman Islands",132.130338188102,"PHL","CYM"
"Poland","Cayman Islands",11.7449189500535,"POL","CYM"
"Portugal","Cayman Islands",5.87245947502674,"PRT","CYM"
"Puerto Rico","Cayman Islands",58.7245947502674,"PRI","CYM"
"Qatar","Cayman Islands",2.93622973751337,"QAT","CYM"
"Romania","Cayman Islands",5.87245947502674,"ROU","CYM"
"Russian Federation","Cayman Islands",2.93622973751337,"RUS","CYM"
"Rwanda","Cayman Islands",0,"RWA","CYM"
"Samoa","Cayman Islands",5.87245947502674,"WSM","CYM"
"San Marino","Cayman Islands",0,"SMR","CYM"
"São Tomé and Principe","Cayman Islands",0,"STP","CYM"
"Saudi Arabia","Cayman Islands",8.80868921254011,"SAU","CYM"
"Senegal","Cayman Islands",0,"SEN","CYM"
"Serbia","Cayman Islands",0,"SRB","CYM"
"Seychelles","Cayman Islands",2.93622973751337,"SYC","CYM"
"Sierra Leone","Cayman Islands",5.87245947502674,"SLE","CYM"
"Singapore","Cayman Islands",11.7449189500535,"SGP","CYM"
"Slovak Republic","Cayman Islands",2.93622973751337,"SVK","CYM"
"Slovenia","Cayman Islands",0,"SVN","CYM"
"Solomon Islands","Cayman Islands",2.93622973751337,"SLB","CYM"
"Somalia","Cayman Islands",0,"SOM","CYM"
"South Africa","Cayman Islands",46.9796758002139,"ZAF","CYM"
"Spain","Cayman Islands",35.2347568501605,"ESP","CYM"
"Sri Lanka","Cayman Islands",2.93622973751337,"LKA","CYM"
"St. Kitts and Nevis","Cayman Islands",8.80868921254011,"KNA","CYM"
"St. Lucia","Cayman Islands",14.6811486875669,"LCA","CYM"
"St. Vincent and the Grenadines","Cayman Islands",38.1709865876738,"VCT","CYM"
"Sudan","Cayman Islands",8.80868921254011,"SDN","CYM"
"Suriname","Cayman Islands",2.93622973751337,"SUR","CYM"
"Swaziland","Cayman Islands",0,"SWZ","CYM"
"Sweden","Cayman Islands",11.7449189500535,"SWE","CYM"
"Switzerland","Cayman Islands",96.8955813379413,"CHE","CYM"
"Syrian Arab Republic","Cayman Islands",0,"SYR","CYM"
"Tajikistan","Cayman Islands",0,"TJK","CYM"
"Tanzania","Cayman Islands",20.5536081625936,"TZA","CYM"
"Thailand","Cayman Islands",67.5332839628075,"THA","CYM"
"Timor-Leste","Cayman Islands",0,"TLS","CYM"
"Togo","Cayman Islands",0,"TGO","CYM"
"Tonga","Cayman Islands",0,"TON","CYM"
"Trinidad and Tobago","Cayman Islands",428.689541676952,"TTO","CYM"
"Tunisia","Cayman Islands",0,"TUN","CYM"
"Turkey","Cayman Islands",0,"TUR","CYM"
"Turkmenistan","Cayman Islands",0,"TKM","CYM"
"Turks and Caicos Islands","Cayman Islands",0,"TCA","CYM"
"Tuvalu","Cayman Islands",0,"TUV","CYM"
"Uganda","Cayman Islands",5.87245947502674,"UGA","CYM"
"Ukraine","Cayman Islands",0,"UKR","CYM"
"United Arab Emirates","Cayman Islands",2.93622973751337,"ARE","CYM"
"United Kingdom","Cayman Islands",4002.08113223072,"GBR","CYM"
"United States","Cayman Islands",6166.08244877808,"USA","CYM"
"Uruguay","Cayman Islands",11.7449189500535,"URY","CYM"
"Uzbekistan","Cayman Islands",0,"UZB","CYM"
"Vanuatu","Cayman Islands",0,"VUT","CYM"
"Venezuela, RB","Cayman Islands",44.0434460627006,"VEN","CYM"
"Vietnam","Cayman Islands",0,"VNM","CYM"
"Virgin Islands (U.S.)","Cayman Islands",0,"VIR","CYM"
"West Bank and Gaza","Cayman Islands",2.93622973751337,"PSE","CYM"
"Yemen, Rep.","Cayman Islands",2.93622973751337,"YEM","CYM"
"Zambia","Cayman Islands",14.6811486875669,"ZMB","CYM"
"Zimbabwe","Cayman Islands",26.4260676376203,"ZWE","CYM"
"Other South","Cayman Islands",24.906794305286,NA,"CYM"
"Other North","Cayman Islands",16.2004220199169,NA,"CYM"
"Afghanistan","Central African Republic",0,"AFG","CAF"
"Albania","Central African Republic",0,"ALB","CAF"
"Algeria","Central African Republic",9.43492020964852,"DZA","CAF"
"American Samoa","Central African Republic",0,"ASM","CAF"
"Andorra","Central African Republic",0,"AND","CAF"
"Angola","Central African Republic",62.0009042348331,"AGO","CAF"
"Antigua and Barbuda","Central African Republic",0,"ATG","CAF"
"Argentina","Central African Republic",0,"ARG","CAF"
"Armenia","Central African Republic",0,"ARM","CAF"
"Aruba","Central African Republic",0,"ABW","CAF"
"Australia","Central African Republic",0,"AUS","CAF"
"Austria","Central African Republic",0,"AUT","CAF"
"Azerbaijan","Central African Republic",0,"AZE","CAF"
"Bahamas, The","Central African Republic",0,"BHS","CAF"
"Bahrain","Central African Republic",0,"BHR","CAF"
"Bangladesh","Central African Republic",0,"BGD","CAF"
"Barbados","Central African Republic",0,"BRB","CAF"
"Belarus","Central African Republic",0,"BLR","CAF"
"Belgium","Central African Republic",0,"BEL","CAF"
"Belize","Central African Republic",0,"BLZ","CAF"
"Benin","Central African Republic",204.872553123796,"BEN","CAF"
"Bermuda","Central African Republic",0,"BMU","CAF"
"Bhutan","Central African Republic",0,"BTN","CAF"
"Bolivia","Central African Republic",0,"BOL","CAF"
"Bosnia and Herzegovina","Central African Republic",0,"BIH","CAF"
"Botswana","Central African Republic",0,"BWA","CAF"
"Brazil","Central African Republic",0,"BRA","CAF"
"Brunei Darussalam","Central African Republic",0,"BRN","CAF"
"Bulgaria","Central African Republic",0,"BGR","CAF"
"Burkina Faso","Central African Republic",98.3927393291917,"BFA","CAF"
"Burundi","Central African Republic",26.9569148847101,"BDI","CAF"
"Cambodia","Central African Republic",0,"KHM","CAF"
"Cameroon","Central African Republic",6992.62372109379,"CMR","CAF"
"Canada","Central African Republic",0,"CAN","CAF"
"Cape Verde","Central African Republic",10.782765953884,"CPV","CAF"
"Cayman Islands","Central African Republic",0,"CYM","CAF"
"Central African Republic","Central African Republic",0,"CAF","CAF"
"Chad","Central African Republic",40683.3759440044,"TCD","CAF"
"Channel Islands","Central African Republic",0,"","CAF"
"Chile","Central African Republic",0,"CHL","CAF"
"China","Central African Republic",0,"CHN","CAF"
"Colombia","Central African Republic",0,"COL","CAF"
"Comoros","Central African Republic",0,"COM","CAF"
"Congo, Dem. Rep.","Central African Republic",21109.9600462164,"COD","CAF"
"Congo, Rep.","Central African Republic",1457.02124951858,"COG","CAF"
"Costa Rica","Central African Republic",0,"CRI","CAF"
"Côte d'Ivoire","Central African Republic",142.871648888963,"CIV","CAF"
"Croatia","Central African Republic",0,"HRV","CAF"
"Cuba","Central African Republic",0,"CUB","CAF"
"Cyprus","Central African Republic",0,"CYP","CAF"
"Czech Republic","Central African Republic",0,"CZE","CAF"
"Denmark","Central African Republic",0,"DNK","CAF"
"Djibouti","Central African Republic",0,"DJI","CAF"
"Dominica","Central African Republic",0,"DMA","CAF"
"Dominican Republic","Central African Republic",0,"DOM","CAF"
"Ecuador","Central African Republic",0,"ECU","CAF"
"Egypt, Arab Rep.","Central African Republic",44.4789095597716,"EGY","CAF"
"El Salvador","Central African Republic",0,"SLV","CAF"
"Equatorial Guinea","Central African Republic",144.219494633199,"GNQ","CAF"
"Eritrea","Central African Republic",0,"ERI","CAF"
"Estonia","Central African Republic",0,"EST","CAF"
"Ethiopia","Central African Republic",10.782765953884,"ETH","CAF"
"Faeroe Islands","Central African Republic",0,"FRO","CAF"
"Fiji","Central African Republic",0,"FJI","CAF"
"Finland","Central African Republic",0,"FIN","CAF"
"France","Central African Republic",3059.60983941459,"FRA","CAF"
"French Polynesia","Central African Republic",0,"PYF","CAF"
"Gabon","Central African Republic",187.350558448735,"GAB","CAF"
"Gambia, The","Central African Republic",6.73922872117751,"GMB","CAF"
"Georgia","Central African Republic",0,"GEO","CAF"
"Germany","Central African Republic",0,"DEU","CAF"
"Ghana","Central African Republic",21.565531907768,"GHA","CAF"
"Gibraltar","Central African Republic",0,"GIB","CAF"
"Greece","Central African Republic",0,"GRC","CAF"
"Greenland","Central African Republic",0,"GRL","CAF"
"Grenada","Central African Republic",0,"GRD","CAF"
"Guam","Central African Republic",0,"GUM","CAF"
"Guatemala","Central African Republic",0,"GTM","CAF"
"Guinea","Central African Republic",55.2616755136556,"GIN","CAF"
"Guinea-Bissau","Central African Republic",33.6961436058876,"GNB","CAF"
"Guyana","Central African Republic",0,"GUY","CAF"
"Haiti","Central African Republic",0,"HTI","CAF"
"Honduras","Central African Republic",0,"HND","CAF"
"Hong Kong, China","Central African Republic",0,"HKG","CAF"
"Hungary","Central African Republic",0,"HUN","CAF"
"Iceland","Central African Republic",0,"ISL","CAF"
"India","Central African Republic",0,"IND","CAF"
"Indonesia","Central African Republic",0,"IDN","CAF"
"Iran, Islamic Rep.","Central African Republic",0,"IRN","CAF"
"Iraq","Central African Republic",0,"IRQ","CAF"
"Ireland","Central African Republic",0,"IRL","CAF"
"Isle of Man","Central African Republic",0,"IMN","CAF"
"Israel","Central African Republic",0,"ISR","CAF"
"Italy","Central African Republic",0,"ITA","CAF"
"Jamaica","Central African Republic",0,"JAM","CAF"
"Japan","Central African Republic",0,"JPN","CAF"
"Jordan","Central African Republic",0,"JOR","CAF"
"Kazakhstan","Central African Republic",0,"KAZ","CAF"
"Kenya","Central African Republic",1.3478457442355,"KEN","CAF"
"Kiribati","Central African Republic",0,"KIR","CAF"
"Korea, Dem. Rep.","Central African Republic",0,"PRK","CAF"
"Korea, Rep.","Central African Republic",0,"KOR","CAF"
"Kosovo","Central African Republic",0,"KOS","CAF"
"Kuwait","Central African Republic",0,"KWT","CAF"
"Kyrgyz Republic","Central African Republic",0,"KGZ","CAF"
"Lao PDR","Central African Republic",0,"LAO","CAF"
"Latvia","Central African Republic",0,"LVA","CAF"
"Lebanon","Central African Republic",0,"LBN","CAF"
"Lesotho","Central African Republic",0,"LSO","CAF"
"Liberia","Central African Republic",8.08707446541302,"LBR","CAF"
"Libya","Central African Republic",8.08707446541302,"LBY","CAF"
"Liechtenstein","Central African Republic",0,"LIE","CAF"
"Lithuania","Central African Republic",0,"LTU","CAF"
"Luxembourg","Central African Republic",0,"LUX","CAF"
"Macao, China","Central African Republic",0,"MAC","CAF"
"Macedonia, FYR","Central African Republic",0,"MKD","CAF"
"Madagascar","Central African Republic",28.3047606289456,"MDG","CAF"
"Malawi","Central African Republic",0,"MWI","CAF"
"Malaysia","Central African Republic",0,"MYS","CAF"
"Maldives","Central African Republic",0,"MDV","CAF"
"Mali","Central African Republic",483.876622180546,"MLI","CAF"
"Malta","Central African Republic",0,"MLT","CAF"
"Marshall Islands","Central African Republic",0,"MHL","CAF"
"Mauritania","Central African Republic",59.3052127463621,"MRT","CAF"
"Mauritius","Central African Republic",0,"MUS","CAF"
"Mayotte","Central African Republic",0,"MYT","CAF"
"Mexico","Central African Republic",0,"MEX","CAF"
"Micronesia, Fed. Sts.","Central African Republic",0,"FSM","CAF"
"Moldova","Central African Republic",0,"MDA","CAF"
"Monaco","Central African Republic",0,"MCO","CAF"
"Mongolia","Central African Republic",0,"MNG","CAF"
"Montenegro","Central African Republic",0,"MNE","CAF"
"Morocco","Central African Republic",26.9569148847101,"MAR","CAF"
"Mozambique","Central African Republic",1.3478457442355,"MOZ","CAF"
"Myanmar","Central African Republic",0,"MMR","CAF"
"Namibia","Central African Republic",0,"NAM","CAF"
"Nepal","Central African Republic",0,"NPL","CAF"
"Netherlands","Central African Republic",0,"NLD","CAF"
"Netherlands Antilles","Central African Republic",0,"ANT","CAF"
"New Caledonia","Central African Republic",0,"NCL","CAF"
"New Zealand","Central African Republic",0,"NZL","CAF"
"Nicaragua","Central African Republic",0,"NIC","CAF"
"Niger","Central African Republic",421.875717945712,"NER","CAF"
"Nigeria","Central African Republic",1497.45662184564,"NGA","CAF"
"Northern Mariana Islands","Central African Republic",0,"MNP","CAF"
"Norway","Central African Republic",0,"NOR","CAF"
"Oman","Central African Republic",0,"OMN","CAF"
"Pakistan","Central African Republic",0,"PAK","CAF"
"Palau","Central African Republic",0,"PLW","CAF"
"Panama","Central African Republic",0,"PAN","CAF"
"Papua New Guinea","Central African Republic",0,"PNG","CAF"
"Paraguay","Central African Republic",0,"PRY","CAF"
"Peru","Central African Republic",0,"PER","CAF"
"Philippines","Central African Republic",0,"PHL","CAF"
"Poland","Central African Republic",0,"POL","CAF"
"Portugal","Central African Republic",0,"PRT","CAF"
"Puerto Rico","Central African Republic",0,"PRI","CAF"
"Qatar","Central African Republic",0,"QAT","CAF"
"Romania","Central African Republic",0,"ROU","CAF"
"Russian Federation","Central African Republic",0,"RUS","CAF"
"Rwanda","Central African Republic",35.0439893501231,"RWA","CAF"
"Samoa","Central African Republic",0,"WSM","CAF"
"San Marino","Central African Republic",0,"SMR","CAF"
"São Tomé and Principe","Central African Republic",0,"STP","CAF"
"Saudi Arabia","Central African Republic",0,"SAU","CAF"
"Senegal","Central African Republic",1652.45888243273,"SEN","CAF"
"Serbia","Central African Republic",0,"SRB","CAF"
"Seychelles","Central African Republic",0,"SYC","CAF"
"Sierra Leone","Central African Republic",4.04353723270651,"SLE","CAF"
"Singapore","Central African Republic",0,"SGP","CAF"
"Slovak Republic","Central African Republic",0,"SVK","CAF"
"Slovenia","Central African Republic",0,"SVN","CAF"
"Solomon Islands","Central African Republic",0,"SLB","CAF"
"Somalia","Central African Republic",12.1306116981195,"SOM","CAF"
"South Africa","Central African Republic",1.3478457442355,"ZAF","CAF"
"Spain","Central African Republic",0,"ESP","CAF"
"Sri Lanka","Central African Republic",0,"LKA","CAF"
"St. Kitts and Nevis","Central African Republic",0,"KNA","CAF"
"St. Lucia","Central African Republic",0,"LCA","CAF"
"St. Vincent and the Grenadines","Central African Republic",0,"VCT","CAF"
"Sudan","Central African Republic",1659.1981111539,"SDN","CAF"
"Suriname","Central African Republic",0,"SUR","CAF"
"Swaziland","Central African Republic",0,"SWZ","CAF"
"Sweden","Central African Republic",0,"SWE","CAF"
"Switzerland","Central African Republic",0,"CHE","CAF"
"Syrian Arab Republic","Central African Republic",0,"SYR","CAF"
"Tajikistan","Central African Republic",0,"TJK","CAF"
"Tanzania","Central African Republic",0,"TZA","CAF"
"Thailand","Central African Republic",0,"THA","CAF"
"Timor-Leste","Central African Republic",0,"TLS","CAF"
"Togo","Central African Republic",175.219946750615,"TGO","CAF"
"Tonga","Central African Republic",0,"TON","CAF"
"Trinidad and Tobago","Central African Republic",0,"TTO","CAF"
"Tunisia","Central African Republic",1.3478457442355,"TUN","CAF"
"Turkey","Central African Republic",0,"TUR","CAF"
"Turkmenistan","Central African Republic",0,"TKM","CAF"
"Turks and Caicos Islands","Central African Republic",0,"TCA","CAF"
"Tuvalu","Central African Republic",0,"TUV","CAF"
"Uganda","Central African Republic",9.43492020964852,"UGA","CAF"
"Ukraine","Central African Republic",0,"UKR","CAF"
"United Arab Emirates","Central African Republic",0,"ARE","CAF"
"United Kingdom","Central African Republic",36.3918350943586,"GBR","CAF"
"United States","Central African Republic",0,"USA","CAF"
"Uruguay","Central African Republic",0,"URY","CAF"
"Uzbekistan","Central African Republic",0,"UZB","CAF"
"Vanuatu","Central African Republic",0,"VUT","CAF"
"Venezuela, RB","Central African Republic",0,"VEN","CAF"
"Vietnam","Central African Republic",0,"VNM","CAF"
"Virgin Islands (U.S.)","Central African Republic",0,"VIR","CAF"
"West Bank and Gaza","Central African Republic",0,"PSE","CAF"
"Yemen, Rep.","Central African Republic",0,"YEM","CAF"
"Zambia","Central African Republic",0,"ZMB","CAF"
"Zimbabwe","Central African Republic",2.69569148847101,"ZWE","CAF"
"Other South","Central African Republic",3.88075567487393,NA,"CAF"
"Other North","Central African Republic",0.162781557830767,NA,"CAF"
"Afghanistan","Chad",0,"AFG","TCD"
"Albania","Chad",0,"ALB","TCD"
"Algeria","Chad",0,"DZA","TCD"
"American Samoa","Chad",0,"ASM","TCD"
"Andorra","Chad",0,"AND","TCD"
"Angola","Chad",0,"AGO","TCD"
"Antigua and Barbuda","Chad",0,"ATG","TCD"
"Argentina","Chad",0,"ARG","TCD"
"Armenia","Chad",0,"ARM","TCD"
"Aruba","Chad",0,"ABW","TCD"
"Australia","Chad",0,"AUS","TCD"
"Austria","Chad",0,"AUT","TCD"
"Azerbaijan","Chad",0,"AZE","TCD"
"Bahamas, The","Chad",0,"BHS","TCD"
"Bahrain","Chad",0,"BHR","TCD"
"Bangladesh","Chad",0,"BGD","TCD"
"Barbados","Chad",0,"BRB","TCD"
"Belarus","Chad",0,"BLR","TCD"
"Belgium","Chad",0,"BEL","TCD"
"Belize","Chad",0,"BLZ","TCD"
"Benin","Chad",0,"BEN","TCD"
"Bermuda","Chad",0,"BMU","TCD"
"Bhutan","Chad",0,"BTN","TCD"
"Bolivia","Chad",0,"BOL","TCD"
"Bosnia and Herzegovina","Chad",0,"BIH","TCD"
"Botswana","Chad",0,"BWA","TCD"
"Brazil","Chad",0,"BRA","TCD"
"Brunei Darussalam","Chad",0,"BRN","TCD"
"Bulgaria","Chad",0,"BGR","TCD"
"Burkina Faso","Chad",0,"BFA","TCD"
"Burundi","Chad",0,"BDI","TCD"
"Cambodia","Chad",0,"KHM","TCD"
"Cameroon","Chad",48546.8470419456,"CMR","TCD"
"Canada","Chad",0,"CAN","TCD"
"Cape Verde","Chad",0,"CPV","TCD"
"Cayman Islands","Chad",0,"CYM","TCD"
"Central African Republic","Chad",88977.5029375598,"CAF","TCD"
"Chad","Chad",0,"TCD","TCD"
"Channel Islands","Chad",0,"","TCD"
"Chile","Chad",0,"CHL","TCD"
"China","Chad",0,"CHN","TCD"
"Colombia","Chad",0,"COL","TCD"
"Comoros","Chad",0,"COM","TCD"
"Congo, Dem. Rep.","Chad",0,"COD","TCD"
"Congo, Rep.","Chad",1078.62235278043,"COG","TCD"
"Costa Rica","Chad",0,"CRI","TCD"
"Côte d'Ivoire","Chad",0,"CIV","TCD"
"Croatia","Chad",0,"HRV","TCD"
"Cuba","Chad",0,"CUB","TCD"
"Cyprus","Chad",0,"CYP","TCD"
"Czech Republic","Chad",0,"CZE","TCD"
"Denmark","Chad",0,"DNK","TCD"
"Djibouti","Chad",0,"DJI","TCD"
"Dominica","Chad",0,"DMA","TCD"
"Dominican Republic","Chad",0,"DOM","TCD"
"Ecuador","Chad",0,"ECU","TCD"
"Egypt, Arab Rep.","Chad",0,"EGY","TCD"
"El Salvador","Chad",0,"SLV","TCD"
"Equatorial Guinea","Chad",0,"GNQ","TCD"
"Eritrea","Chad",0,"ERI","TCD"
"Estonia","Chad",0,"EST","TCD"
"Ethiopia","Chad",0,"ETH","TCD"
"Faeroe Islands","Chad",0,"FRO","TCD"
"Fiji","Chad",0,"FJI","TCD"
"Finland","Chad",0,"FIN","TCD"
"France","Chad",0,"FRA","TCD"
"French Polynesia","Chad",0,"PYF","TCD"
"Gabon","Chad",318.282005738489,"GAB","TCD"
"Gambia, The","Chad",0,"GMB","TCD"
"Georgia","Chad",0,"GEO","TCD"
"Germany","Chad",0,"DEU","TCD"
"Ghana","Chad",0,"GHA","TCD"
"Gibraltar","Chad",0,"GIB","TCD"
"Greece","Chad",0,"GRC","TCD"
"Greenland","Chad",0,"GRL","TCD"
"Grenada","Chad",0,"GRD","TCD"
"Guam","Chad",0,"GUM","TCD"
"Guatemala","Chad",0,"GTM","TCD"
"Guinea","Chad",0,"GIN","TCD"
"Guinea-Bissau","Chad",0,"GNB","TCD"
"Guyana","Chad",0,"GUY","TCD"
"Haiti","Chad",0,"HTI","TCD"
"Honduras","Chad",0,"HND","TCD"
"Hong Kong, China","Chad",0,"HKG","TCD"
"Hungary","Chad",0,"HUN","TCD"
"Iceland","Chad",0,"ISL","TCD"
"India","Chad",0,"IND","TCD"
"Indonesia","Chad",0,"IDN","TCD"
"Iran, Islamic Rep.","Chad",0,"IRN","TCD"
"Iraq","Chad",0,"IRQ","TCD"
"Ireland","Chad",0,"IRL","TCD"
"Isle of Man","Chad",0,"IMN","TCD"
"Israel","Chad",0,"ISR","TCD"
"Italy","Chad",0,"ITA","TCD"
"Jamaica","Chad",0,"JAM","TCD"
"Japan","Chad",0,"JPN","TCD"
"Jordan","Chad",0,"JOR","TCD"
"Kazakhstan","Chad",0,"KAZ","TCD"
"Kenya","Chad",0,"KEN","TCD"
"Kiribati","Chad",0,"KIR","TCD"
"Korea, Dem. Rep.","Chad",0,"PRK","TCD"
"Korea, Rep.","Chad",0,"KOR","TCD"
"Kosovo","Chad",0,"KOS","TCD"
"Kuwait","Chad",0,"KWT","TCD"
"Kyrgyz Republic","Chad",0,"KGZ","TCD"
"Lao PDR","Chad",0,"LAO","TCD"
"Latvia","Chad",0,"LVA","TCD"
"Lebanon","Chad",0,"LBN","TCD"
"Lesotho","Chad",0,"LSO","TCD"
"Liberia","Chad",0,"LBR","TCD"
"Libya","Chad",11104.5055335428,"LBY","TCD"
"Liechtenstein","Chad",0,"LIE","TCD"
"Lithuania","Chad",0,"LTU","TCD"
"Luxembourg","Chad",0,"LUX","TCD"
"Macao, China","Chad",0,"MAC","TCD"
"Macedonia, FYR","Chad",0,"MKD","TCD"
"Madagascar","Chad",0,"MDG","TCD"
"Malawi","Chad",0,"MWI","TCD"
"Malaysia","Chad",0,"MYS","TCD"
"Maldives","Chad",0,"MDV","TCD"
