Country code,Country name,"Embedded water in highly water stressed areas (Proportion of total production for rice, wheat, soy and sugar)"
MKD,The former Yugoslav Republic of Macedonia,0.055641275324916
MLI,Mali,0.128391568372524
MLT,Malta,0.237552918405339
MMR,Burma,0.010577232323786
MNE,Montenegro,0.055641275324916
MNG,Mongolia,0.292380717456529
MOZ,Mozambique,0.117436471005979
MRT,Mauritania,0.128391568372524
MSR,Montserrat,0.190206137690229
MUS,Mauritius,0.407766553986494
MWI,Malawi,0.00621588612995
MYS,Malaysia,0.3069380776235
NAM,Namibia,0.631037258474487
NCL,New Caledonia,0.594715951349357
NER,Niger,0.128391568372524
NGA,Nigeria,0.04915066863063
NIC,Nicaragua,0.03630558997921
NLD,Netherlands,0.251229336258694
NOR,Norway,0.334657472780264
NPL,Nepal,0.99483542521451
NZL,New Zealand,0.48385473640376
OMN,Oman,0.422529884765776
PAK,Pakistan,0.971146456994496
PAN,Panama,0.035578215810727
PER,Peru,0.026701325416412
PHL,Philippines,0.570853665161111
PLW,Palau,0.594715951349357
PNG,Papua New Guinea,0.594715951349357
POL,Poland,0.124890611471215
PRI,Puerto Rico,0.190206137690229
PRK,"Korea, Democratic People's Republic of",0.151044112736204
PRT,Portugal,0.270936797256499
PRY,Paraguay,0.023211017470143
PSE,Palestine,0.437045897398307
PYF,French Polynesia,0.594715951349357
QAT,Qatar,0.677343140799322
ROU,Romania,0.048638484169206
RUS,Russia,0.121858988481406
RWA,Rwanda,0.260002334543299
SAU,Saudi Arabia,0.564859720473789
SDN,Sudan,0.260002334543299
SEN,Senegal,0.170811178418544
SGP,Singapore,0.388653223126924
SLB,Solomon Islands,0.594715951349357
SLE,Sierra Leone,0.128391568372524
SLV,El Salvador,0.08539719561765
SMR,San Marino,0.055641275324916
SOM,Somalia,0.260002334543299
SRB,Serbia,0.055641275324916
STP,Sao Tome and Principe,0.077431578573926
SUR,Suriname,0.054524064668634
SVK,Slovakia,0.091903136949984
SVN,Slovenia,0.109842311657074
SWE,Sweden,0.235617602210073
SWZ,Swaziland,0.679316602260595
SYC,Seychelles,0.260002334543299
SYR,Syrian Arab Republic,0.437045897398307
TCD,Chad,0.077431578573926
TGO,Togo,0.128391568372524
THA,Thailand,0.05844530345721
TJK,Tajikistan,0.983941840561597
TKM,Turkmenistan,0.983941840561597
TLS,Timor-Leste,0.010577232323786
TON,Tonga,0.594715951349357
TTO,Trinidad and Tobago,0.190206137690229
TUN,Tunisia,0.503571947707558
TUR,Turkey,0.818056389482073
TWN,Taiwan,0.380635052828737
TZA,United Republic of Tanzania,0.033648871685841
UGA,Uganda,0.032417753313283
UKR,Ukraine,0.043511241198885
URY,Uruguay,0.040813513725366
USA,United States,0.08686225335231
UZB,Uzbekistan,0.983941840561597
VCT,Saint Vincent and the Grenadines,0.190206137690229
VEN,Venezuela,0.034765960882994
VNM,Viet Nam,0.047909505641449
VUT,Vanuatu,0.594715951349357
WLF,Wallis and Futuna Islands,0.594715951349357
YEM,Yemen,0.437045897398307
ZAF,South Africa,0.631797610700508
ZMB,Zambia,0.030212278289161
ZWE,Zimbabwe,0.04161634873799
