"from","from_iso","migration_cwi"
"Maldives","MDV",0.397870661
"Mali","MLI",0.544416313
"Malta","MLT",0.255508018
"Marshall Islands","MHL",0
"Mauritania","MRT",0.465284438
"Mauritius","MUS",0.339225937
"Mayotte","MYT",0
"Mexico","MEX",0.289546763
"Micronesia, Fed. Sts.","FSM",0.482598445
"Moldova","MDA",0.322664458
"Monaco","MCO",0.188172353
"Mongolia","MNG",0.399306925
"Montenegro","MNE",0
"Morocco","MAR",0.364708027
"Mozambique","MOZ",0.513186923
"Myanmar","MMR",0.450518179
"Namibia","NAM",0.427028075
"Nepal","NPL",0.477594163
"Netherlands","NLD",0.19057085
"Netherlands Antilles","ANT",0
"New Caledonia","NCL",0
"New Zealand","NZL",0.25937051
"Nicaragua","NIC",0.375611552
"Niger","NER",0.529114441
"Nigeria","NGA",0.502678199
"Northern Mariana Islands","MNP",0
"Norway","NOR",0.161815828
"Oman","OMN",0.320837551
"Pakistan","PAK",0.430075243
"Palau","PLW",0
"Panama","PAN",0.339105111
"Papua New Guinea","PNG",0.5018407
"Paraguay","PRY",0.344765468
"Peru","PER",0.369894385
"Philippines","PHL",0.381765514
"Poland","POL",0.149939918
"Portugal","PRT",0.254607569
"Puerto Rico","PRI",0
"Qatar","QAT",0.293961871
"Romania","ROU",0.25070976
"Russian Federation","RUS",0.289435913
"Rwanda","RWA",0.520745874
"Samoa","WSM",0
"San Marino","SMR",0
"São Tomé and Principe","STP",0.502075232
"Saudi Arabia","SAU",0.341458032
"Senegal","SEN",0.472086175
"Serbia","SRB",0.334148658
"Seychelles","SYC",0.372139737
"Sierra Leone","SLE",0.589453921
"Singapore","SGP",0.352335547
"Slovak Republic","SVK",0.187754477
"Slovenia","SVN",0.170795336
"Solomon Islands","SLB",0.54393412
"Somalia","SOM",0.619269074
"South Africa","ZAF",0.365560843
"Spain","ESP",0.213517562
"Sri Lanka","LKA",0.331939377
"St. Kitts and Nevis","KNA",0.397369798
"St. Lucia","LCA",0.303784368
"St. Vincent and the Grenadines","VCT",0.361696647
"Sudan","SDN",0.526867847
"Suriname","SUR",0.305608387
"Swaziland","SWZ",0.411058237
"Sweden","SWE",0.205265765
"Switzerland","CHE",0.155764363
"Syrian Arab Republic","SYR",0.349158994
"Tajikistan","TJK",0.398371714
"Tanzania","TZA",0.535534539
"Thailand","THA",0.308106181
"Timor-Leste","TLS",0.534921927
"Togo","TGO",0.575294446
"Tonga","TON",0.416826951
"Trinidad and Tobago","TTO",0.302344053
"Tunisia","TUN",0.317379887
"Turkey","TUR",0.277430808
"Turkmenistan","TKM",0.293216469
"Turks and Caicos Islands","TCA",0
"Tuvalu","TUV",0
"Uganda","UGA",0.521598036
"Ukraine","UKR",0.262116511
"United Arab Emirates","ARE",0.297816031
"United Kingdom","GBR",0.164744418
"United States","USA",0.199021375
"Uruguay","URY",0.273960494
"Uzbekistan","UZB",0.304348356
"Vanuatu","VUT",0.447106462
"Venezuela, RB","VEN",0.284910779
"Vietnam","VNM",0.381388268
"Virgin Islands (U.S.)","VIR",0
"West Bank and Gaza","PSE",0
"Yemen, Rep.","YEM",0.527486219
"Zambia","ZMB",0.4972256
"Zimbabwe","ZWE",0.472287007
"Other South",NA,0
"Other North",NA,0
